locale,allcaps,isocode,assource,astarget,ar_AR,bg_BG,cs_CZ,da_DK,de_DE,el_GR,en_US,en_GB,es_ES,et_EE,fi_FI,fr_FR,hu_HU,it_IT,ja_JP,ko_KR,lt_LT,lv_LV,nl_NL,no_NO,pl_PL,pt_PT,pt_BR,ro_RO,ru_RU,sk_SK,sl_SI,sv_SE,id_ID,tr_TR,uk_UA,zh_CN
ar_AR,AR_AR,AR,AR,AR,العربية,арабски,arabština,arabisk,Arabisch,αραβικός,Arabic,Arabic,Arábica,araabia keel,arabialainen,Arabe,arab,Arabo,アラビア語,아라비아 말,Arabiškas,Arābu,Arabisch,Arabisk,Arabski,árabe,árabe,Arabic,арабский,arabčina,arabsko,arabiska,Arabia,Arapça,арабська,阿拉伯
bg_BG,BG_BG,BG,BG,BG,البلغارية,Български,Bulharský,Bulgarsk,Bulgarisch,Βουλγαρική,Bulgarian,Bulgarian,Búlgaro,Bulgaaria,Bulgarian,Bulgare,Bolgár,Bulgaro,ブルガリア語,불가리아 사람,Bulgarų,Bulgāru,Bulgaars,Bulgarsk,Bułgarski,Búlgaro,Búlgaro,Bulgară,Болгарский,Bulharský,Bolgarski,Bulgariska,Bulgaria,Bulgarca,Болгарська,保加利亚人
cs_CZ,CS_CZ,CS,CS,CS,التشيكية,Чешки,Čeština,Tjekkisk,Tschechisch,Τσεχική,Czech,Czech,Checo,Tšehhi,Tšekki,Tchèque,Cseh,Ceco,チェコ語,체코 사람,čekų kalba,Čehu,Tsjechisch,tsjekkisk,czeski,Checo,Tcheco,Cehă,чешский,Český,Češčina,Tjeckiska,Ceko,Çek Cumhuriyeti,чеська,捷克
da_DK,DA_DA,DA,DA,DA,دانماركي,Датски,Dánština,dansk,Dänisch,Δανικά,Danish,Danish,Danés,Taani,tanska,Danois,dán,Danese,デンマーク語,덴마크 말,Danų kalba,Dāņu,Deens,Dansk,duński,Dinamarquês,Dinamarquês,Daneză,датский,Dánsky,danski,Danska,Denmark,Danimarka,датська,丹麦语
de_DE,DE_DE,DE,DE,DE,ألمانية,Немски,Němčina,tysk,Deutsch,Γερμανικά,German,German,Alemán,Saksa,saksa,Allemand,német,Tedesco,ドイツ語,독일 사람,Vokiečių kalba,Vācu,Duits,Tysk,Niemiecki,Alemão,Alemão,Germană,немецкий язык,Nemčina,nemščina,Tyska,Jerman,Alman,Німецький,德国
el_GR,EL_GR,EL,EL,EL,اليونانية,Гръцки,Řečtina,Græsk,Griechisch,Ελληνικά,Greek,Greek,Griego,Kreeka,kreikka,Grec,görög,Greco,ギリシャ語,그리스 어,Graikų kalba,grieķu,Grieks,Gresk,grecki,Grego,Grego,Greacă,греческий,Gréčtina,grščina,Grekiska,Yunani,Yunan,грецька,希腊语
en_GB,EN_GB,EN,EN,EN-GB,إنجليزي,Английски,Angličtina,engelsk,Englisch,Αγγλικά,English,English,Inglés,inglise,Englanti,Anglais,angol,Inglese,英語,영어,Anglų,Angļu,Engels,Engelsk,angielski,Inglês,Inglês,Engleză,английский язык,Angličtina,angleščina,Engelska,Inggris,İngilizce,англійська,英文
en_US,EN_US,EN,EN,EN-US,إنجليزي,Английски,Angličtina,engelsk,Englisch,Αγγλικά,English,English,Inglés,inglise,Englanti,Anglais,angol,Inglese,英語,영어,Anglų,Angļu,Engels,Engelsk,angielski,Inglês,Inglês,Engleză,английский язык,Angličtina,angleščina,Engelska,Inggris,İngilizce,англійська,英文
es_ES,ES_ES,ES,ES,ES,الأسبانية,Испански,Španělština,spansk,Spanisch,Ισπανικά,Spanish,Spanish,Español,Hispaania,Espanja,Espagnol,Spanyol,Spagnolo,スペイン語,스페인의,Ispanų kalba,Spāņu,Spaans,Spansk,hiszpański,Espanhol,Espanhol,Spaniolă,испанский,Španielčina,Španščina,Spanska,Spanyol,İspanyolca,Іспанська,西班牙语
et_EE,ET_EE,ET,ET,ET,الإستونية,Естонски,Estonština,Estisk,Estnisch,Εσθονικά,Estonian,Estonian,Estonio,Eesti keel,Viro,Estonien,Észt,Estone,エストニア語,에스토니아 사람,Estų kalba,Igauņu,Ests,Estisk,estoński,Estónio,Estoniano,Estoniană,эстонский,Estónčina,Estonščina,Estniska,Estonia,Estonca,Естонська,爱沙尼亚语
fi_FI,FI_FI,FI,FI,FI,الفنلندية,Финландски,Finština,finsk,Finnisch,Φινλανδικά,Finnish,Finnish,Finlandés,Soome,suomi,Finnois,finn,Finlandese,フィンランド語,핀란드어,Suomių kalba,Somu,Fins,Finsk,fiński,Finlandês,Finlandês,Finlandeză,финский,Fínsky,finščina,Finska,Finlandia,Fince,фінська,芬兰
fr_FR,FR_FR,FR,FR,FR,فرنسي,Френски,Francouzština,Fransk,Französisch,Γαλλικά,French,French,Francés,prantsuse,ranska,Français,francia,Francese,フランス語,프랑스 국민,Prancūzų,Franču,Frans,Fransk,Francuski,Francês,Francês,Franceză,французский,Francúzština,Francoski,Franska,Prancis,Fransızca,французька,法国人
hu_HU,HU_HU,HU,HU,HU,المجرية,Унгарски,Maďarština,Ungarsk,Ungarisch,Ουγγρικά,Hungarian,Hungarian,Húngaro,Ungari,unkari,Hongrois,Magyar,Ungherese,ハンガリー語,헝가리 인,vengrų,Ungāru,Hongaars,Ungarsk,Węgierski,Húngaro,Húngaro,Maghiară,венгерский,Maďarčina,madžarski,Ungerska,Hongaria,Macarca,угорська,匈牙利语
id_ID,ID_ID,ID,ID,ID,الاندونيسية,Индонезийски,Indonéský,Indonesisk,Indonesisch,Ινδονησιακή,Indonesian,Indonesian,Indonesia,Indoneesia,Indonesialainen,Indonésien,Indonéz,Indonesiano,インドネシア語,인도네시아 인,Indonezijos,Indonēzijas,Indonesisch,Indonesisk,Indonezyjski,Indonésio,Indonésio,Indoneziană,Индонезийский,Indonézsky,Indonezijski,Indonesiska,Indonesia,Endonezce,індонезійська,印尼语
it_IT,IT_IT,IT,IT,IT,ايطالي,Италиански,italština,Italiensk,Italienisch,Ιταλικά,Italian,Italian,Italiano,Itaalia,italia,Italien,olasz,Italiano,イタリア語,이탈리아 사람,italų kalba,Itāļu,Italiaans,Italiensk,włoski,Italiano,Italiano,Italiană,итальянский,taliansky,italijanščina,Italienska,Italia,İtalyan,італійська,意大利
ja_JP,JA_JP,JA,JA,JA,اليابانية,Японски,japonština,japansk,Japanisch,Ιαπωνικά,Japanese,Japanese,Japonés,jaapani,japani,Japonais,japán,Giapponese,日本語,일본어,japonų,japāņu,Japans,Japansk,japoński,Japonês,Japonês,Japoneză,Японский,Japončina,japonščina,Japanska,Jepang,Japonca,Японський,日文
ko_KR,KO_KR,KR,KO,KO,الكورية,Kорейски,Korejština,Koreansk,Koreanische,Κορεάτικη,Korean,Korean,Coreano,Korea,Korean,Coréen,Koreai,Coreana,韓国語,한국인,Korejiečių,Korejiešu,Koreaanse,Koreansk,Koreański,Coreana,Coreana,Coreeană,Kорейский,Korejský,Korejski,Koreanska,Korea,Kore,Корейська,韩国语
lt_LT,LT_LT,LT,LT,LT,الليتوانية,Литовски,Litevština,Litauisk,Litauisch,Λιθουανικά,Lithuanian,Lithuanian,Lituano,Leedu,liettuan kieli,Lituanien,litván,Lituano,リトアニア語,리투아니아 사람,Lietuvių,Lietuviešu,Litouws,Litauisk,Litewski,Lituano,Lituano,lituaniană,литовский,Litovčina,litovščina,Litauiska,Lituania,Litvanyalı,литовський,立陶宛语
lv_LV,LV_LV,LV,LV,LV,لاتفيا,Латвийски,lotyština,lettisk,Lettisch,Λετονία,Latvian,Latvian,Letón,Läti,Latvian,Letton,lett,Lettone,ラトビア語,라트비아 사람,Latvių,Latviešu,Lets,Latvisk,łotewski,Letão,Letão,Letonă,латышский язык,lotyština,latvijski,Lettiska,Latvia,Letonca,латиська,拉脱维亚人
nl_NL,NL_NL,NL,NL,NL,هولندي,Нидерландски,nizozemština,hollandsk,Niederländisch,Ολλανδικά,Dutch,Dutch,Holandés,Hollandi,Hollanti,Néerlandais,holland,Olandese,オランダ語,네덜란드 사람,Olandų,Holandiešu,Nederlands,Nederlandsk,niderlandzki,Holandês,Holandês,olandeză,голландский,Holandský,nizozemščina,Nederländska,Belanda,Hollandaca,голландська,荷兰语
no_NO,NO_NO,NO,NB,NB,النرويجية,Hорвежки ,Norský,Norsk,Norwegische,Νορβηγική,Norwegian ,Norwegian ,Noruego,Norra,Norjan,Norvégien,Norvég,Novergese,ノルウェー語,노르웨이 인,Norvegų,Norvēģu,Noorse,Norsk,Norweski,Norueguesa,Norueguesa,Norvegiană,Hорвежский,Nórsky,norveški,Norska,Norwegia,Norveç,Норвезька,挪威语
pl_PL,PL_PL,PL,PL,PL,تلميع,Полски,Polština,polsk,Polnisch,Πολωνικά,Polish,Polish,Polaco,Poola,Puola,Polonais,Lengyel,Polacco,ポーランド語,광택,Lenkų kalba,Poļu,Pools,Pusse,Polski,Polaco,Polonês,Poloneză,польский,Poľština,poljščina,Polska,Polandia,Lehçe,польський,波兰语
pt_BR,PT_BR,PT,PT,PT-BR,البرتغالية,Португалски,Portugalština,portugisisk,Portugiesisch,Πορτογαλικά,Portuguese,Portuguese,Portugués,Portugali,Portugali,Portugais,Portugál,Portoghese,ポルトガル語,포르투갈 인,Portugalų,Portugāļu,Portugees,portugisisk,portugalski,Português,Português,Portugheză,Португальский,Portugalčina,portugalščina,Portugisiska,Portugis,Portekizce,португальська,葡萄牙语
pt_PT,PT_PT,PT,PT,PT-PT,البرتغالية,Португалски,Portugalština,portugisisk,Portugiesisch,Πορτογαλικά,Portuguese,Portuguese,Portugués,Portugali,Portugali,Portugais,Portugál,Portoghese,ポルトガル語,포르투갈 인,Portugalų,Portugāļu,Portugees,portugisisk,portugalski,Português,Português,Portugheză,Португальский,Portugalčina,portugalščina,Portugisiska,Portugis,Portekizce,португальська,葡萄牙语
ro_RO,RO_RO,RO,RO,RO,روماني,Румънски,Rumunština,rumænsk,Rumänisch,Ρουμανικά,Romanian,Romanian,Rumano,Rumeenia,Romanian,Roumain,Román,Rumeno,ルーマニア語,루마니아 사람,Rumunų,Rumāņu,Roemeens,Rumensk,rumuński,Romeno,Romeno,Română,румынский язык,Rumunčina,romunščina,Rumänska,Rumania,Romence,румунська,罗马尼亚语
ru_RU,RU_RU,RU,RU,RU,الروسية,Руски,ruština,russisk,Russisch,Ρωσικά,Russian,Russian,Ruso,Vene,Venäjä,Russe,orosz,Russo,ロシア語,러시아인,rusų,Krievu,Russisch,Russisk,rosyjski,Russo,Russo,Rusă,русский,Ruský,ruščina,Ryska,Rusia,Rusça,російський,俄语
sk_SK,SK_SK,SK,SK,SK,السلوفاكية,Словашки,Slovenština,Slovakisk,Slowakisch,Σλοβάκικα,Slovak,Slovak,Eslovaco,slovaki keel,slovakki,Slovaque,szlovák,Slovacco,スロバキア語,슬로바키아 사람,Slovakų,slovāku,Slowaaks,Slovakisk,słowacki,Eslovaco,Eslovaco,Slovacă,словацкий,Slovensky,slovaščina,Slovakiska,Slowakia,Slovakça,словацький,斯洛伐克
sl_SI,SL_SI,SL,SL,SL,السلوفينية,Словенски,slovinština,slovensk,Slowenisch,Σλοβένικα,Slovenian,Slovenian,Esloveno,Sloveenia,Slovenian,Slovène,szlovén,Sloveno,スロベニア語,슬로베니아,slovėnų,slovēņu,Sloveens,Slovensk,słoweński,Esloveno,Esloveno,Slovenă,словенский,slovinčina,slovenski,Slovenska,Slovenia,Slovence,словенська,斯洛文尼亚语
sv_SE,SV_SE,SV,SV,SV,السويدية,Шведски,švédština,svensk,Schwedisch,Σουηδικά,Swedish,Swedish,Sueco,Rootsi,Ruotsi,Suédois,Svéd,Svedese,スウェーデン語,스웨덴어,švedų,zviedru,Zweeds,Svensk,szwedzki,Sueco,Sueco,Suedeză,шведский язык,švédsky,švedski,Svenska,Swedia,İsveç,шведська,瑞典语
tr_TR,TR_TR,TR,TR,TR,اللغة التركية,Турски,Turecký,Tyrkisk,Türkisch,Τουρκικά,Turkish,Turkish,Turco,Türgi,Turkkilainen,Turc,Török,Turco,トルコ語,터키어,Turkijos,Turcijas,Turks,Tyrkisk,Turecki,Turco,Turco,Turcă,Турецкий,Turecký,Turški,Turkiska,Turki,Türkçe,турецька,土耳其
uk_UA,UK_UA,UK,UK,UK,الأوكرانية,украински,ukrajinština,ukrainsk,Ukrainisch,Ουκρανός,Ukrainian,Ukrainian,ucranio,ukrainlane,ukrainalainen,Ukrainien,ukrán,ucraino,ウクライナ語,우크라이나 인,ukrainiečių,ukraiņu,Oekraïens,Ukrainsk,ukraiński,Ucraniano,Ucraniano,ucrainean,украинец,Ukrajinčina,ukrajinski,Ukrainska,Orang Ukraina,Ukrayna,українська,乌克兰
zh_CN,ZH_CN,ZH,ZH,ZH,صينى,Китайски,Čínština,Kinesisk,Chinesisch,Κινέζικα,Chinese,Chinese,Chino,Hiina,Kiina,Chinois,Kínai,Cinese,中国語,중국인,Kinų kalba,Ķīniešu,Chinees,Kinesisk,chiński,Chinês,Chinês,Chineză,китайский язык,Čínština,kitajščina,Kinesiska,Tionghoa,Çince,китайський,中文
